Brand,Model,Year,Engine_Type,Price,Year_norm,Price_norm
Audi,Audi Q5 2.0 TDI,2012.0,Inline 4 cylinder ,1350000.0,0.996039603960396,0.1656441717791411
Audi,Audi Q5 2.0 TDI,2012.0,V8 cylinder ,1350000.0,0.996039603960396,0.1656441717791411
Audi,Audi Q5 2.0 TDI,2012.0,Inline 5 cylinder ,1350000.0,0.996039603960396,0.1656441717791411
Audi,Audi Q7 35 TDI Quattro Premium,2005.0,V6 cylinder ,1250000.0,0.9925742574257426,0.15337423312883436
Audi,Audi Q7 35 TDI Quattro Premium,2005.0,Inline 4 cylinder ,1250000.0,0.9925742574257426,0.15337423312883436
Audi,Audi Q7 35 TDI Quattro Premium,2005.0,V8 cylinder ,1250000.0,0.9925742574257426,0.15337423312883436
Audi,Audi Q7 35 TDI Quattro Premium,2005.0,Inline 5 cylinder ,1250000.0,0.9925742574257426,0.15337423312883436
Audi,Audi A8 4.2 TDI,2007.0,V6 cylinder ,2800000.0,0.9935643564356436,0.34355828220858897
Audi,Audi A8 4.2 TDI,2007.0,Inline 4 cylinder ,2800000.0,0.9935643564356436,0.34355828220858897
Audi,Audi A8 4.2 TDI,2007.0,V8 cylinder ,2800000.0,0.9935643564356436,0.34355828220858897
Audi,Audi A8 4.2 TDI,2007.0,Inline 5 cylinder ,2800000.0,0.9935643564356436,0.34355828220858897
Audi,Audi,2015.0,V6 cylinder ,1549000.0,0.9975247524752475,0.19006134969325153
Audi,Audi,2015.0,Inline 4 cylinder ,1549000.0,0.9975247524752475,0.19006134969325153
Audi,Audi,2015.0,V8 cylinder ,1549000.0,0.9975247524752475,0.19006134969325153
Audi,Audi,2015.0,Inline 5 cylinder ,1549000.0,0.9975247524752475,0.19006134969325153
Audi,Audi A6 2.0 TDI Premium Plus,2016.0,V6 cylinder ,1300000.0,0.998019801980198,0.15950920245398773
Audi,Audi A6 2.0 TDI Premium Plus,2016.0,Inline 4 cylinder ,1300000.0,0.998019801980198,0.15950920245398773
Audi,Audi A6 2.0 TDI Premium Plus,2016.0,V8 cylinder ,1300000.0,0.998019801980198,0.15950920245398773
Audi,Audi A6 2.0 TDI Premium Plus,2016.0,Inline 5 cylinder ,1300000.0,0.998019801980198,0.15950920245398773
Audi,Hyundai,2013.0,V6 cylinder ,564533.0262184618,0.9965346534653465,0.06926785597772538
